experiment	ct	qty	log_qty
taqman_19	24.82283211	100000000	8
taqman_19	23.77595901	100000000	8
taqman_19	27.18639183	10000000	7
taqman_19	26.61931419	10000000	7
taqman_19	31.55865097	1000000	6
taqman_19	30.70021248	1000000	6
taqman_19	34.8218689	100000	5
taqman_19	34.40670395	100000	5
taqman_19	38.15352631	10000	4
zen_19	21.5301342	100000000	8
zen_19	20.60004807	100000000	8
zen_19	22.86847878	10000000	7
zen_19	22.62567139	10000000	7
zen_19	26.66953468	1000000	6
zen_19	25.83488655	1000000	6
zen_19	29.85483551	100000	5
zen_19	29.01215172	100000	5
zen_19	34.35622787	10000	4
zen_19	34.07827759	10000	4
zen_19	36.67852402	1000	3
zen_19	37.15703583	1000	3
taqman_17	24.57942772	100000000	8
taqman_17	22.31974792	100000000	8
taqman_17	25.26362801	10000000	7
taqman_17	25.39790154	10000000	7
taqman_17	29.47554398	1000000	6
taqman_17	28.80356407	1000000	6
taqman_17	33.37886429	100000	5
taqman_17	32.65462112	100000	5
taqman_17	36.27844238	10000	4
taqman_17	36.38240051	10000	4
taqman_17	38.12724686	1000	3
taqman_17	37.87744141	1000	3
zen_17	20.55188942	100000000	8
zen_17	18.63495827	100000000	8
zen_17	21.73820114	10000000	7
zen_17	22.00627708	10000000	7
zen_17	25.57563019	1000000	6
zen_17	24.84384537	1000000	6
zen_17	29.38619423	100000	5
zen_17	28.89031792	100000	5
zen_17	32.86684036	10000	4
zen_17	32.55507278	10000	4
zen_17	35.45309067	1000	3
zen_17	36.28391647	1000	3
